,CityID,City,Humidity,Temp,Latitude,Cloudiness,WindSpeed,MaxTemp,Longitude,LatLong,CountryCode
0,4032243,Vaini,78,82.4,-21.2,40,13.87,82.4,-175.2,"{'lon': -175.2, 'lat': -21.2}",TO
1,3395458,Maragogi,81,81.7,-9.01,100,15.08,81.7,-35.22,"{'lon': -35.22, 'lat': -9.01}",BR
2,3833367,Ushuaia,81,48.2,-54.8,75,6.93,48.2,-68.3,"{'lon': -68.3, 'lat': -54.8}",AR
3,5563839,Fortuna,71,55.06,40.6,90,6.93,57.2,-124.16,"{'lon': -124.16, 'lat': 40.6}",US
4,5660340,Kalispell,80,32.11,48.2,90,3.15,34.0,-114.31,"{'lon': -114.31, 'lat': 48.2}",US
5,3471451,Arraial do Cabo,90,75.45,-22.97,100,3.09,75.45,-42.03,"{'lon': -42.03, 'lat': -22.97}",BR
6,745026,Nicaea,92,31.01,40.43,65,1.28,44.6,29.72,"{'lon': 29.72, 'lat': 40.43}",TR
7,3893726,Constitucion,94,56.61,-35.33,59,5.23,56.61,-72.42,"{'lon': -72.42, 'lat': -35.33}",CL
8,2013279,Vostok,76,12.85,46.49,87,2.04,12.85,135.88,"{'lon': 135.88, 'lat': 46.49}",RU
9,2206939,Bluff,74,64.0,-46.6,56,14.0,64.0,168.33,"{'lon': 168.33, 'lat': -46.6}",NZ
10,5972291,Havre-Saint-Pierre,85,19.4,50.23,90,9.17,19.4,-63.6,"{'lon': -63.6, 'lat': 50.23}",CA
11,964420,Port Elizabeth,88,62.6,-33.92,20,5.82,62.6,25.57,"{'lon': 25.57, 'lat': -33.92}",ZA
12,5870133,Nome,84,6.8,64.5,90,13.87,6.8,-165.41,"{'lon': -165.41, 'lat': 64.5}",US
13,3652764,Puerto Ayora,44,75.0,-0.74,27,1.99,75.0,-90.35,"{'lon': -90.35, 'lat': -0.74}",EC
14,2017155,Saskylakh,92,-39.14,71.92,0,9.33,-39.14,114.08,"{'lon': 114.08, 'lat': 71.92}",RU
15,6201424,Mataura,74,64.0,-46.19,43,14.0,64.0,168.86,"{'lon': 168.86, 'lat': -46.19}",NZ
16,159267,Ikungi,97,62.42,-5.13,100,0.6,62.42,34.77,"{'lon': 34.77, 'lat': -5.13}",TZ
17,1805757,Jimo,61,48.2,36.39,33,6.71,48.2,120.46,"{'lon': 120.46, 'lat': 36.39}",CN
18,3874787,Punta Arenas,76,48.09,-53.15,75,12.75,48.2,-70.92,"{'lon': -70.92, 'lat': -53.15}",CL
19,3985710,Cabo San Lucas,82,65.64,22.89,75,4.7,69.01,-109.91,"{'lon': -109.91, 'lat': 22.89}",MX
20,2112444,Kamaishi,80,35.6,39.27,75,2.24,35.6,141.88,"{'lon': 141.88, 'lat': 39.27}",JP
21,5848280,Kapaa,73,74.86,22.08,1,8.05,77.0,-159.32,"{'lon': -159.32, 'lat': 22.08}",US
